MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1740909784114,0,-6.958,6.5758,-1.5091999999999999,-0.2318,-0.4446,2.2686,-564.0,-564.0,-112.0,0.0,0.0,0.0,16248003.883609986,0.0,-117.40757543781841,74.80324167267779,360,9.691882906845295
1740909784196,0,-6.859999999999999,6.5758,-1.6268,-0.0038,-0.551,-0.5206,-564.0,-564.0,-112.0,0.0,0.0,0.0,16248003.883609986,0.0,-117.40757543781841,74.80324167267779,360,9.640914058324553
1740909784369,2,-6.37,6.3797999999999995,-1.029,-3.6746,-10.2486,2.09,-564.0,-564.0,-114.0,0.0,0.0,0.0,16248003.883609986,0.0,-116.77115021446211,74.80324167267779,-400.0,9.580786946801394
1740909784479,2,-7.2814,6.762,-2.5578,-5.6772,-4.9818,3.3516,-519.0,-519.0,-80.0,0.0,0.0,0.0,16248003.883609986,0.0,-103.87998263849539,74.80324167267779,-400.0,10.260885478359066
1740909784600,2,-6.7032,6.4092,-1.4504,-21.3902,-12.6312,-8.4284,-511.0,-511.0,-89.0,0.0,0.0,0.0,16248003.883609986,0.0,-111.31791227546155,74.80324167267779,-400.0,9.386926815523811
1740909784726,2,-8.1928,6.6346,-0.10779999999999999,6.7792,-4.2218,4.3472,-514.0,-514.0,-95.0,0.0,0.0,0.0,16248003.883609986,0.0,-112.44275336529435,74.80324167267779,-400.0,10.542841639709856
1740909784869,2,-7.007,7.4578,-0.392,1.8772,-3.154,-10.1308,-550.0,-550.0,-93.0,0.0,0.0,0.0,16248003.883609986,0.0,-115.27111601172507,74.80324167267779,-400.0,10.574999228368766
1740909785011,2,-7.5264,7.497,-1.9305999999999999,-27.5234,21.3788,-25.3764,-552.0,-552.0,-86.0,0.0,0.0,0.0,16248003.883609986,0.0,-113.45902408146156,74.80324167267779,-400.0,10.797171959360469
1740909785111,2,-7.8595999999999995,6.1739999999999995,-0.9212,-20.1438,17.8638,-25.0496,-552.0,-552.0,-101.0,0.0,0.0,0.0,16248003.883609986,0.0,-112.73793085587438,74.80324167267779,-400.0,10.379925729984777
1740909785227,2,-7.683199999999999,5.733,-0.9898,7.7672,23.1496,5.4682,-539.0,-539.0,-106.0,0.0,0.0,0.0,16248003.883609986,0.0,-112.73793085587438,74.80324167267779,-400.0,10.572855706950701
1740909785306,2,-7.9967999999999995,6.3602,-2.1755999999999998,12.3804,23.0166,16.621199999999998,-562.0,-562.0,-102.0,0.0,0.0,0.0,16248003.883609986,0.0,-113.19859051364818,74.80324167267779,-400.0,9.637352088618533
1740909785407,2,-7.3793999999999995,6.125,-1.7247999999999999,5.2098,15.5952,12.9048,-540.0,-540.0,-97.0,0.0,0.0,0.0,16248003.883609986,0.0,-113.19859051364818,74.80324167267779,-400.0,9.744029166623015
1740909785486,2,-6.3111999999999995,6.2818,-1.2348,-17.4306,17.6054,21.4776,-540.0,-540.0,-90.0,0.0,0.0,0.0,16248003.883609986,0.0,-113.22918088955261,74.80324167267779,-400.0,9.158512912039814
1740909785585,2,-6.1838,6.722799999999999,-1.8032,-46.1244,26.9382,-3.4656,-561.0,-561.0,-90.0,0.0,0.0,0.0,16248003.883609986,0.0,-112.15811012003869,74.80324167267779,-400.0,9.310582823862315
1740909785698,2,-6.2916,6.4288,-1.4798,-39.748,41.2718,-14.3678,-522.0,-522.0,-115.0,0.0,0.0,0.0,16248003.883609986,0.0,-115.11483488614456,74.80324167267779,-400.0,9.116112550862896
1740909785794,2,-6.3308,6.2622,-1.5484,-43.32,55.6168,-9.5722,-522.0,-522.0,-115.0,0.0,0.0,0.0,16248003.883609986,0.0,-115.60218755144177,74.80324167267779,-400.0,9.0383471962522
1740909785900,2,-6.5268,6.8012,-2.2441999999999998,-53.7662,52.6034,-3.4884,-486.0,-486.0,-125.0,0.0,0.0,0.0,16248003.883609986,0.0,-114.67686317033706,74.80324167267779,-400.0,9.689781902602348
1740909786017,2,-5.3606,6.664,-1.9698,-60.3288,53.675,-13.4938,-520.0,-520.0,-131.0,0.0,0.0,0.0,16248003.883609986,0.0,-117.56061222738616,74.80324167267779,-400.0,8.776391080620781
1740909786142,2,-5.380199999999999,6.8012,-2.156,-65.9794,59.7018,-5.7038,-494.0,-494.0,-145.0,0.0,0.0,0.0,16248003.883609986,0.0,-117.97435915061202,74.80324167267779,-400.0,8.935950396012727
1740909786216,2,-5.7526,6.5072,-2.3324,-66.8268,68.4456,-4.7386,-524.0,-524.0,-165.0,0.0,0.0,0.0,16248003.883609986,0.0,-125.30439007661758,74.80324167267779,-400.0,8.993116721137339
1740909786316,2,-5.2038,6.4974,-1.6954,-79.3706,63.6462,-14.6072,-513.0,-513.0,-176.0,0.0,0.0,0.0,16248003.883609986,0.0,-125.30439007661758,74.80324167267779,-400.0,8.379395429265765
1740909786426,2,-6.125,6.615,-1.2054,-59.4814,60.0286,-17.6966,-485.0,-485.0,-187.0,0.0,0.0,0.0,16248003.883609986,0.0,-125.14554549970606,74.80324167267779,-400.0,8.606213590191683
1740909786539,2,-6.5169999999999995,7.0363999999999995,-1.5091999999999999,-51.3836,59.5308,-7.3264,-536.0,-536.0,-195.0,0.0,0.0,0.0,16248003.883609986,0.0,-126.34745820888529,74.80324167267779,-400.0,9.708753709925904
1740909786627,2,-6.5072,6.7032,-1.7835999999999999,-60.8912,58.318599999999996,1.919,-518.0,-518.0,-211.0,0.0,0.0,0.0,16248003.883609986,0.0,-130.505642347368,74.80324167267779,-400.0,9.51092903138279
1740909786684,2,-6.9677999999999995,6.566,-2.0188,-53.637,57.4104,5.0692,-518.0,-518.0,-211.0,0.0,0.0,0.0,16248003.883609986,0.0,-130.505642347368,74.80324167267779,-400.0,9.51092903138279
1740909786757,2,-6.8502,6.5268,-1.9893999999999998,-49.8294,68.21,6.8628,-469.0,-469.0,-230.0,0.0,0.0,0.0,16248003.883609986,0.0,-132.1612121589946,74.80324167267779,-400.0,9.668612653323123
1740909786866,2,-7.2128,6.9482,-2.5284,-52.2272,79.1464,0.6764,-536.0,-536.0,-237.0,0.0,0.0,0.0,16248003.883609986,0.0,-137.3911817833236,74.80324167267779,-400.0,9.407030158344343
1740909786967,2,-6.3994,6.859999999999999,-2.205,-65.892,60.2338,-29.3702,-546.0,-546.0,-238.0,0.0,0.0,0.0,16248003.883609986,0.0,-135.2417529092681,74.80324167267779,-400.0,9.63711291622133
1740909787069,2,-6.8012,5.8995999999999995,-1.5876,-65.6146,61.9362,-9.1162,-517.0,-517.0,-245.0,0.0,0.0,0.0,16248003.883609986,0.0,-132.32665236641319,74.80324167267779,-400.0,9.1423233020934
1740909787170,2,-6.468,6.6836,-1.6758,-69.8364,58.2084,-20.6416,-553.0,-553.0,-252.0,0.0,0.0,0.0,16248003.883609986,0.0,-136.7569883099082,74.80324167267779,-400.0,9.450599906884218
1740909787229,2,-6.0956,6.9482,-1.4896,-69.578,67.3588,-23.4764,-559.0,-559.0,-267.0,0.0,0.0,0.0,16248003.883609986,0.0,-136.7569883099082,74.80324167267779,-400.0,9.36230371009187
1740909787313,2,-6.791399999999999,7.1442,-1.8326,-81.8596,76.304,-21.2268,-568.0,-568.0,-266.0,0.0,0.0,0.0,16248003.883609986,0.0,-143.71826300513692,74.80324167267779,-400.0,9.855823506942482
1740909787438,2,-6.7326,6.2328,-1.2642,-50.388,76.304,-10.5792,-581.0,-581.0,-258.0,0.0,0.0,0.0,16248003.883609986,0.0,-142.9238796831438,74.80324167267779,-400.0,9.799519788234523
1740909787544,2,-6.9384,6.5562,-2.8714,-67.6514,66.5912,-26.7748,-604.0,-604.0,-244.0,0.0,0.0,0.0,16248003.883609986,0.0,-144.35141297854523,74.80324167267779,-400.0,9.968454792995752
1740909787634,2,-6.664,6.0074,-1.7835999999999999,-34.6864,50.7224,-21.8386,-610.0,-610.0,-242.0,0.0,0.0,0.0,16248003.883609986,0.0,-144.35141297854523,74.80324167267779,-400.0,9.147621533491643
1740909787764,2,-6.664,6.203399999999999,-0.7056,-5.9508,30.1302,7.9876,-565.0,-565.0,-237.0,0.0,0.0,0.0,16248003.883609986,0.0,-150.84498279041856,74.80324167267779,-400.0,9.131754427271902
1740909787855,2,-6.762,6.5464,-1.2152,-15.2608,-0.1444,-11.5444,-600.0,-600.0,-233.0,0.0,0.0,0.0,16248003.883609986,0.0,-145.6902382764991,74.80324167267779,-400.0,9.489821283880955
1740909787938,2,-8.0458,5.6251999999999995,-1.4014,6.289,-9.1428,-13.946,-599.0,-599.0,-224.0,0.0,0.0,0.0,16248003.883609986,0.0,-145.6902382764991,74.80324167267779,-400.0,10.000197746044824
1740909788073,2,-7.8595999999999995,5.1842,-1.5582,23.8716,-17.879,12.9694,-627.0,-627.0,-219.0,0.0,0.0,0.0,16248003.883609986,0.0,-142.50734666694967,74.80324167267779,-400.0,9.54343905727909
1740909788174,2,-7.2324,5.782,-0.9309999999999999,25.156,-16.1538,7.4822,-569.0,-569.0,-219.0,0.0,0.0,0.0,16248003.883609986,0.0,-135.52805674890018,74.80324167267779,-400.0,9.567826877614372
1740909788275,2,-7.35,6.0074,-1.3426,19.8702,-23.5714,-4.1306,-615.0,-615.0,-236.0,0.0,0.0,0.0,16248003.883609986,0.0,-135.52805674890018,74.80324167267779,-400.0,9.587175262818553
1740909788337,2,-7.252,6.791399999999999,-2.3912,12.2816,-26.7064,-7.6608,-582.0,-582.0,-227.0,0.0,0.0,0.0,16248003.883609986,0.0,-142.0551860610967,74.80324167267779,-400.0,10.219219901734181
1740909788395,2,-7.5754,5.8408,-1.1368,20.0564,-19.0114,19.3306,-582.0,-582.0,-227.0,0.0,0.0,0.0,16248003.883609986,0.0,-142.0551860610967,74.80324167267779,-400.0,9.632961332840488
1740909788468,2,-7.3304,5.9388,-1.6758,23.5486,-27.3828,5.5632,-613.0,-613.0,-233.0,0.0,0.0,0.0,16248003.883609986,0.0,-143.7248468693745,74.80324167267779,-400.0,9.581879525437584
1740909788530,2,-7.0854,6.1739999999999995,-1.8914,25.8932,-22.4846,-2.242,-554.0,-554.0,-235.0,0.0,0.0,0.0,16248003.883609986,0.0,-143.7248468693745,74.80324167267779,-400.0,9.58637382538361
1740909788619,2,-7.6537999999999995,5.88,-1.8718,27.4094,-33.6642,11.4228,-554.0,-554.0,-235.0,0.0,0.0,0.0,16248003.883609986,0.0,-135.86617689455193,74.80324167267779,-400.0,9.831515126367858
1740909788734,2,-7.8106,5.7526,-2.1854,33.504599999999996,-39.1172,5.567,-602.0,-602.0,-251.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-139.39870535499554,74.80324167267779,-400.0,9.943533188962563
1740909788827,2,-7.8988,5.1156,-1.2348,49.9966,-41.6898,4.8716,-548.0,-548.0,-260.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-145.7343777934915,101.15166790656949,-400.0,9.491318972619137
1740909788900,2,-7.9281999999999995,5.3312,-1.0584,44.935,-68.3316,6.0838,-548.0,-548.0,-260.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-138.50353164478446,101.15166790656949,-400.0,9.612401325371303
1740909789005,2,-8.1732,5.8016,-1.6366,62.1946,-66.1884,8.6222,-596.0,-596.0,-264.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-144.40078004102384,101.15166790656949,-400.0,9.815065719596584
1740909789126,2,-6.4778,6.5464,-2.2638,62.1224,-68.1986,20.4478,-569.0,-569.0,-258.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-139.16179667534402,101.15166790656949,-400.0,10.344929389802523
1740909789194,2,-6.4974,6.3504,-2.7439999999999998,62.4644,-68.5368,-5.5366,-535.0,-535.0,-251.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-137.62422002778206,101.15166790656949,-400.0,9.483777530077349
1740909789298,2,-6.4974,6.9188,-1.8326,53.276,-67.3018,24.0464,-559.0,-559.0,-254.0,38.2608145,140.85386716666667,0.0,54.00781446867246,0.0,-139.49171790236835,101.15166790656949,-400.0,10.197374448356793
