MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1741363249673,0,5.1156,5.0078,6.4974,-7.98,1.8278,-0.7676,-91.0,-91.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-155.96106573454156,74.80324167267779,360,9.667659021707374
1741363249704,0,5.1156,5.0078,6.4974,5.5936,-1.1324,-3.0666,-91.0,-91.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-155.96106573454156,74.80324167267779,360,9.667659021707374
1741363249750,0,4.9196,4.3511999999999995,6.5855999999999995,8.3828,-0.3838,-5.415,-91.0,-91.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-155.96106573454156,74.80324167267779,360,9.300835067885032
1741363249825,0,5.1156,4.7334,6.4582,2.622,-2.6068,-2.1128,-96.0,-96.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-155.6181881231045,74.80324167267779,360,9.714617956461282
1741363249920,0,5.0764,4.8608,6.468,-2.2762,-2.1432,-1.5428,-94.0,-94.0,-138.0,0.0,0.0,0.0,16248003.883609986,0.0,-154.7788848063086,74.80324167267779,360,9.501725430678366
1741363249997,0,5.2724,4.6452,6.37,-2.128,-0.7828,-0.5434,-97.0,-97.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-153.9317205898467,74.80324167267779,360,9.484354738199114
1741363250071,0,5.1646,5.0176,6.2524,0.551,1.71,0.5206,-95.0,-95.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-156.30578361782875,74.80324167267779,360,9.536346715592927
1741363250112,0,5.2332,4.949,6.2328,-0.2014,0.7524,1.2844,-95.0,-95.0,-139.0,0.0,0.0,0.0,16248003.883609986,0.0,-156.30578361782875,74.80324167267779,360,9.52506058143464
1741363250207,0,5.1548,4.8999999999999995,6.3504,1.045,0.5016,2.0368,-94.0,-94.0,-140.0,0.0,0.0,0.0,16248003.883609986,0.0,-156.11350007836526,74.80324167267779,360,9.47613380445844
1741363250298,0,5.096,4.7726,6.3406,4.2598,0.152,0.7828,-95.0,-95.0,-137.0,30.681161166666666,131.06140533333334,0.0,1378526.0902957227,0.0,-154.27747308366241,52.260766949817544,360,9.431337928417156
1741363250331,0,5.096,4.7726,6.3406,-2.28,-0.2014,3.9178,-96.0,-96.0,-137.0,30.681161166666666,131.06140533333334,0.0,1378526.0902957227,0.0,-154.96021568032404,52.260766949817544,360,9.431337928417156
1741363250415,0,5.1842,4.5178,6.3896,8.5728,-0.2432,-1.3224,-96.0,-96.0,-137.0,30.681161166666666,131.06140533333334,0.0,1378526.0902957227,0.0,-154.96021568032404,52.260766949817544,360,9.386875659131743
1741363250456,0,5.1842,4.5178,6.3896,-0.779,0.3002,2.1356,-96.0,-96.0,-137.0,30.681161166666666,131.06140533333334,0.0,1378526.0902957227,0.0,-153.60247986452387,52.260766949817544,360,9.386875659131743
1741363250536,0,5.1646,4.5569999999999995,6.3014,3.4998,-2.3522,1.102,-92.0,-92.0,-139.0,30.681161166666666,131.06140533333334,0.0,1378526.0902957227,0.0,-155.27716044768948,52.260766949817544,360,9.705478871235567
