MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1739693361061,2,-11.446399999999999,1.0191999999999999,1.1368,-73.3362,7.6836,27.778,-131.0,-131.0,-122.0,0.0,0.0,0.0,16247972.965653453,0.0,188.85200409938943,89.73476560881518,360,11.547777095181564
1739693361166,2,-10.3292,0.5684,1.8521999999999998,-117.4048,0.4484,27.398,-130.0,-130.0,-127.0,0.0,0.0,0.0,16247972.965653453,0.0,181.35319195377969,89.73476560881518,-400.0,10.509333758140903
1739693361233,2,-10.7408,0.1568,2.1755999999999998,-117.1122,-12.7566,21.3484,-125.0,-125.0,-137.0,0.0,0.0,0.0,16247972.965653453,0.0,166.45682335755527,89.73476560881518,-400.0,10.960045905013354
1739693361323,2,-9.702,-0.2842,3.3613999999999997,-95.4522,-10.7502,8.379,-119.0,-119.0,-159.0,0.0,0.0,0.0,16247972.965653453,0.0,168.27488798483495,89.73476560881518,-400.0,9.93979463168128
1739693361371,2,-9.702,0.392,3.626,-88.3728,-16.9594,2.6258,-119.0,-119.0,-159.0,0.0,0.0,0.0,16247972.965653453,0.0,168.27488798483495,89.73476560881518,-400.0,10.271737126698676
1739693361450,2,-9.1042,0.8722,4.2336,-46.5956,-9.8648,-15.808,-133.0,-133.0,-173.0,0.0,0.0,0.0,16247972.965653453,0.0,150.72092778582277,89.73476560881518,-400.0,10.078222037641362
1739693361575,2,-9.045399999999999,1.1662,3.9101999999999997,-23.0014,26.467,-19.2052,-114.0,-114.0,-186.0,0.0,0.0,0.0,16247972.965653453,0.0,170.22825264797916,89.73476560881518,-400.0,9.92315210202887
1739693361644,2,-9.045399999999999,1.1662,3.9101999999999997,-37.677,24.6544,-19.7828,-114.0,-114.0,-186.0,0.0,0.0,0.0,16247972.965653453,0.0,170.8376529542783,89.73476560881518,-400.0,9.92315210202887
1739693361781,2,-10.9564,0.0784,2.9694,-64.961,-9.7926,21.223,-119.0,-119.0,-194.0,0.0,0.0,0.0,16247972.965653453,0.0,172.04247477308286,89.73476560881518,-400.0,11.351924236886008
1739693361849,2,-10.7016,0.2352,3.1164,-71.9074,-8.3714,39.5732,-119.0,-119.0,-194.0,0.0,0.0,0.0,16247972.965653453,0.0,172.07674071662134,89.73476560881518,-400.0,11.391259652909332
1739693361943,2,-11.025,0.1568,3.3124,-84.9908,-11.438,39.9152,-116.0,-116.0,-205.0,0.0,0.0,0.0,16247972.965653453,0.0,172.2223621098707,89.73476560881518,-400.0,12.265998832545192
1739693362062,2,-10.1528,0.0588,3.332,-84.6374,-3.2604,46.5652,-107.0,-107.0,-220.0,0.0,0.0,0.0,16247972.965653453,0.0,169.69515353123398,89.73476560881518,-400.0,10.685739528923582
