MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1739691109816,0,-8.0458,-1.6072,6.223,-0.1178,-0.608,-1.0678,-92.0,-92.0,-249.0,0.0,0.0,0.0,16248029.091454912,0.0,159.72184218465847,74.80324886956095,360,10.297753079191596
1739691109841,2,-8.0458,-1.6072,6.223,-0.076,-0.1026,-0.9158,-92.0,-92.0,-249.0,0.0,0.0,0.0,16248029.091454912,0.0,159.72184218465847,74.80324886956095,-400.0,10.297753079191596
1739691109877,2,-7.8792,-1.5386,6.2524,-1.368,-0.6992,0.3724,-92.0,-92.0,-249.0,0.0,0.0,0.0,16248029.091454912,0.0,159.72184218465847,74.80324886956095,-400.0,10.175538725787446
1739691109967,2,-7.614599999999999,-1.274,6.3504,-3.2718,-1.9684,2.4776,-106.0,-106.0,-238.0,0.0,0.0,0.0,16248029.091454912,0.0,155.9928533731142,74.80324886956095,-400.0,9.996638901150725
1739691110003,2,-7.7616,-1.7738,6.419,-1.2692,1.425,4.6246,-98.0,-98.0,-249.0,0.0,0.0,0.0,16248029.091454912,0.0,158.5166762367797,74.80324886956095,-400.0,10.22704072544937
1739691110072,2,-7.9281999999999995,-1.6954,6.2425999999999995,-1.0716,0.0418,-0.6156,-98.0,-98.0,-249.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,158.5166762367797,98.77847246127259,-400.0,10.232340453679207
1739691110125,2,-7.8988,-1.5777999999999999,6.3797999999999995,-0.3534,-2.0178,-1.0906,-101.0,-101.0,-247.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,157.76000925766047,98.77847246127259,-400.0,10.275326871686369
1739691110205,2,-8.0458,-1.6856,6.4483999999999995,2.6524,1.9722,-0.057,-100.0,-100.0,-251.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,158.27734754928724,98.77847246127259,-400.0,10.447870958238333
1739691110266,2,-8.0654,-1.5288,6.2425999999999995,-1.7252,-2.2154,0.532,-100.0,-100.0,-251.0,38.260875666666664,140.85383383333334,0.0,82.53008265981192,0.0,158.27734754928724,98.79316774544098,-400.0,10.31299962959371
1739691110391,2,-8.4378,-1.1074,5.782,-6.2092,0.6156,12.9998,-97.0,-97.0,-247.0,38.260875666666664,140.85383366666667,0.0,82.53008265981192,0.0,160.87477397921293,98.79316774544098,-400.0,10.288553231625912
1739691110493,2,-8.4672,-0.8722,5.6448,-22.2718,-2.6676,17.404,-108.0,-108.0,-245.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,158.40047755519242,98.77847246127259,-400.0,10.21361717120825
1739691110559,2,-8.5456,-1.323,5.8995999999999995,-28.9484,-1.9076,26.9724,-108.0,-108.0,-245.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,156.21133159041972,98.77847246127259,-400.0,10.294912827217141
1739691110598,2,-8.5456,-1.323,5.8995999999999995,-30.21,-4.2598,28.538,-103.0,-103.0,-244.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,157.11387717419143,98.77847246127259,-400.0,10.468184585686288
1739691110633,2,-8.2418,-1.47,5.635,-35.055,-3.6062,29.9706,-103.0,-103.0,-244.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,157.11387717419143,98.77847246127259,-400.0,10.091649629272709
1739691110663,2,-8.2418,-1.47,5.635,-43.776,-0.4674,26.8052,-103.0,-103.0,-244.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,157.11387717419143,98.77847246127259,-400.0,10.091649629272709
1739691110709,2,-8.1928,-1.8228,5.684,-43.7836,-4.8716,29.6628,-106.0,-106.0,-237.0,38.2608755,140.85383366666667,0.0,82.54558436097432,0.0,155.90306673675053,98.77847246127259,-400.0,10.136687214272719
1739691110777,2,-8.1242,-2.0776,5.8506,-43.9964,0.551,34.4546,-106.0,-106.0,-237.0,38.260875666666664,140.8538335,0.0,82.56675322228173,0.0,155.90306673675053,98.78923148415953,-400.0,10.224899400972118
1739691110852,2,-8.477,-1.911,5.7722,-47.0136,10.5716,36.9854,-116.0,-116.0,-234.0,38.260875666666664,140.8538335,0.0,82.56675322228173,0.0,153.63116647881594,98.78923148415953,-400.0,10.432149483208146
1739691110929,2,-9.731399999999999,-1.5876,5.9192,-45.1288,-8.5424,50.3272,-120.0,-120.0,-221.0,38.260875666666664,140.85383283333334,0.0,82.56675322228173,0.0,151.4986403853174,98.78923148415953,-400.0,11.500328184882378
1739691111012,2,-7.820399999999999,-1.1368,5.1156,-66.76219999999999,-2.1242,39.0336,-115.0,-115.0,-214.0,38.260875666666664,140.85383283333334,0.0,82.64009551475796,0.0,151.7471637484797,98.78136944170497,-400.0,10.73640430125468
1739691111108,2,-8.7808,-1.7444,5.5272,-50.1448,0.2318,53.447,-125.0,-125.0,-203.0,38.26087583333333,140.85383233333334,0.0,82.69793582439559,0.0,151.7471637484797,98.78818587063815,-400.0,10.521184336375823
1739691111181,2,-8.153599999999999,-1.1074,5.3704,-48.8604,1.8316,47.7394,-145.0,-145.0,-203.0,38.26087583333333,140.85383233333334,0.0,82.69793582439559,0.0,144.46232220802563,98.78818587063815,-400.0,9.825921019426117
