MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1740192909339,2,-6.8894,2.1854,6.997199999999999,1.1134,-1.0716,-0.0684,23.0,23.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.61098853367966,74.80318880338811,-400.0,10.059851557552925
1740192909387,2,-6.8894,2.3324,6.8991999999999996,-0.9272,0.3572,0.8512,23.0,23.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.61098853367966,74.80318880338811,-400.0,10.025112605851367
1740192909440,2,-6.859999999999999,2.1854,6.9874,1.938,-1.4706,-0.342,21.0,21.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,149.57814783733218,74.80318880338811,-400.0,10.032912434582492
1740192909498,2,-6.8894,2.303,6.9384,-1.5276,-0.608,-0.4522,21.0,21.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,149.57814783733218,74.80318880338811,-400.0,10.032912434582492
1740192909556,2,-6.8796,2.1854,6.997199999999999,1.6226,-0.0874,0.3686,17.0,17.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,150.0760699749188,74.80318880338811,-400.0,10.045348969548048
1740192909609,2,-6.8796,2.1854,6.997199999999999,0.3876,-1.4858,-0.8588,17.0,17.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,150.0760699749188,74.80318880338811,-400.0,10.053142650932593
1740192909652,2,-6.8894,2.2834,6.9384,-0.3344,1.1134,0.1254,17.0,17.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,150.0760699749188,74.80318880338811,-400.0,10.040873591475993
1740192909704,2,-6.8796,2.2148,6.9874,0.7182,-0.969,-0.494,17.0,17.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,150.0760699749188,74.80318880338811,-400.0,10.05276051440598
1740192909742,2,-6.8991999999999996,2.303,6.9188,-1.2882,-1.615,0.1938,21.0,21.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,149.82647997035568,74.80318880338811,-400.0,10.05276051440598
1740192909789,2,-6.8991999999999996,2.303,6.9188,1.1476,1.2616,0.1178,21.0,21.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,149.82647997035568,74.80318880338811,-400.0,10.038553834093833
1740192909820,2,-6.8894,2.205,6.997199999999999,2.2572,0.7258,-0.8132,23.0,23.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.86158935974518,74.80318880338811,-400.0,10.064127642274814
1740192909894,2,-6.8796,2.2932,6.928599999999999,-0.0418,1.159,0.2812,23.0,23.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.86158935974518,74.80318880338811,-400.0,10.029614168052527
1740192909952,2,-6.8894,2.2246,6.958,-1.748,-1.4972,0.8398,18.0,18.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.61098853367966,74.80318880338811,-400.0,10.041237051280087
1740192909989,2,-6.8894,2.2246,6.958,0.0646,0.475,0.1634,18.0,18.0,-174.0,0.0,0.0,0.0,16247972.965653453,0.0,150.61098853367966,74.80318880338811,-400.0,10.041237051280087
1740192910036,2,-6.8796,2.2441999999999998,6.9677999999999995,1.6302,1.3338,0.1862,18.0,18.0,-172.0,0.0,0.0,0.0,16247972.965653453,0.0,151.34288254344187,74.80318880338811,-400.0,10.045674026166687
