MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object_Distance,Azimuth,Angle,Direction,Fall
1739694256686,2,-10.828999999999999,-0.6664,0.5586,-81.7988,-11.0048,19.0038,-130.0,-130.0,-245.0,0.0,0.0,0.0,16247972.965653453,0.0,177.19591700487774,74.80318880338811,360,10.863855849559123
1739694256744,2,-10.682,-1.3818,0.8917999999999999,-70.2886,-10.849,9.918,-128.0,-128.0,-256.0,0.0,0.0,0.0,16247972.965653453,0.0,177.19591700487774,74.80318880338811,-400.0,10.807858366947634
1739694256897,2,-10.211599999999999,-1.2446,0.4018,-106.115,-8.5462,10.2334,-128.0,-128.0,-257.0,0.0,0.0,0.0,16247972.965653453,0.0,178.21008939175394,74.80318880338811,-400.0,10.295010779984642
1739694256990,2,-9.9078,-0.8428,-0.4704,-98.1768,-15.7586,-1.102,-127.0,-127.0,-270.0,0.0,0.0,0.0,16247972.965653453,0.0,176.60866058020366,74.80318880338811,-400.0,10.459837080949205
1739694257080,2,-10.142999999999999,-0.9995999999999999,-0.6174,-96.2654,-22.078,5.2896,-121.0,-121.0,-277.0,0.0,0.0,0.0,16247972.965653453,0.0,176.60866058020366,74.80318880338811,-400.0,10.210819355957678
1739694257163,2,-10.3978,-1.3328,-1.078,-98.8266,-23.6398,1.9,-117.0,-117.0,-286.0,0.0,0.0,0.0,16247972.965653453,0.0,188.3543508353797,74.80318880338811,-400.0,10.538153760502833
1739694257273,2,-10.4566,-1.2446,-0.6174,-90.9606,-18.2932,-1.7442,-115.0,-115.0,-288.0,0.0,0.0,0.0,16247972.965653453,0.0,188.3543508353797,74.80318880338811,-400.0,10.548492569083034
1739694257371,2,-10.4566,-1.127,-0.49979999999999997,-100.3732,-11.4304,-6.1066,-108.0,-108.0,-289.0,0.0,0.0,0.0,16247972.965653453,0.0,193.98958567733357,74.80318880338811,-400.0,10.52902714404327
1739694257471,2,-10.1528,-1.3916,-0.1568,-92.5832,-22.363,2.8576,-117.0,-117.0,-285.0,0.0,0.0,0.0,16247972.965653453,0.0,193.98958567733357,74.80318880338811,-400.0,10.248926023735365
1739694257543,2,-10.241,-1.3034,-0.0196,-84.2384,-25.3384,12.749,-104.0,-104.0,-279.0,0.0,0.0,0.0,16247972.965653453,0.0,196.60698057861703,74.80318880338811,-400.0,10.323629047965643
